sku,name,type,categories,brand,price,stock_status,manage_stock,image_file,authorized_image_url,source_url,source_stock,source_page,notes
CERA-ACAB,ACAB,simple,Ceras,,8.50,instock,0,data/images/ceras/CERA-ACAB.png,https://iborgraffitishop.com/wp-content/uploads/2026/03/1.ACAB_Detalle-650x650.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/acab/,instock,1,Imagen autorizada por proveedor
CERA-AKIRA,AKIRA,simple,Ceras,,8.50,instock,0,data/images/ceras/CERA-AKIRA.png,https://iborgraffitishop.com/wp-content/uploads/2026/03/1.AKIRA_Detalle-650x650.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/akira/,instock,1,Imagen autorizada por proveedor
CERA-BLING,BLING,simple,Ceras,,8.50,instock,0,data/images/ceras/CERA-BLING.png,https://iborgraffitishop.com/wp-content/uploads/2026/03/1_Bling_Detalle-650x650.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/bling/,instock,1,Imagen autorizada por proveedor
CERA-CLIQUE,CLIQUE,simple,Ceras,,8.50,instock,0,data/images/ceras/CERA-CLIQUE.png,https://iborgraffitishop.com/wp-content/uploads/2026/03/1.CLIQUE_Detalle-650x650.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/clique/,instock,1,Imagen autorizada por proveedor
CERA-DOJO,DOJO,simple,Ceras,,8.50,instock,0,data/images/ceras/CERA-DOJO.png,https://iborgraffitishop.com/wp-content/uploads/2026/03/1_DOJO_Detalle-650x650.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/dojo/,instock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-CARIBES,Hand Mixed Caribes,simple,Ceras,Hand Mixed,13.15,instock,0,data/images/ceras/CERA-HAND-MIXED-CARIBES.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Caribes_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-caribes/,outofstock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-CHERNOBYL,Hand Mixed Chernobyl,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-CHERNOBYL.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Chernobyl_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-chernobyl/,outofstock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-EDITION-CLASSIC-6D,Hand Mixed Edition Classic 6D,simple,Ceras,Hand Mixed,13.15,instock,0,data/images/ceras/CERA-HAND-MIXED-EDITION-CLASSIC-6D.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Edition-Classic-6D_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-edition-classic-6d/,outofstock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-EDITION-CLASSIC-8D,Hand Mixed Edition Classic 8D,simple,Ceras,Hand Mixed,13.15,instock,0,data/images/ceras/CERA-HAND-MIXED-EDITION-CLASSIC-8D.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Edition-Classic-8D_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-edition-classic-8d/,outofstock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-MARLEY,Hand Mixed Marley,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-MARLEY.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Marley_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-marley/,outofstock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-ATACAMA,Hand Mixed Pro Atacama,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-ATACAMA.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Atacama_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-atacama/,outofstock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-CALIFORNIA,Hand Mixed Pro California,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-CALIFORNIA.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-California_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-california/,outofstock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-CHILEAN,Hand Mixed Pro Chilean,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-CHILEAN.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Chilean_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-chilean/,outofstock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-DUBLIN,Hand Mixed Pro Dublin,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-DUBLIN.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Dublin_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-dublin/,outofstock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-FRUIT-SALAD,Hand Mixed Pro Fruit Salad,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-FRUIT-SALAD.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Fruit-Salad_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-fruit-salad/,outofstock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-ICECREAM,Hand Mixed Pro Icecream,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-ICECREAM.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Icecream_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-icecream/,outofstock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-KUSH,Hand Mixed Pro Kush,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-KUSH.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Kush_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-kush/,outofstock,2,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-LIMA,Hand Mixed Pro Lima,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-LIMA.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Lima_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-lima/,outofstock,2,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-MAASAI,Hand Mixed Pro Maasai,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-MAASAI.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Maasai_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-maasai/,outofstock,2,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-MAPUCHE,Hand Mixed Pro Mapuche,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-MAPUCHE.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Mapuche_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-mapuche/,outofstock,2,Imagen autorizada por proveedor
