code,name,hex,family
D200,White,#FFFFFF,blancos
D001,Fresh Color,#F5E9B9,blancos
D002,Ivory Light,#E4D1A9,blancos
D003,Flesh,#FDD69F,marrones
D010,Lemon Yellow,#FDD100,amarillos
D011,Sunny Yellow,#FDC937,amarillos
D013,Pastel Yellow,#FAB540,amarillos
D012,Melon Yellow,#F7A100,amarillos
D014,Fall Leaf,#DCAD05,amarillos
D020,Pastel Orange,#F0793F,naranjas
D021,Orangine,#E7430E,naranjas
D023,Pure Orange,#E8480E,naranjas
D022,Reddish,#DF2F22,rojos
D031,Bomba Red,#DA1715,rojos
D030,Signal Red,#AC251F,rojos
D032,Vine,#A51A2D,rojos
D024,Tropical Peach,#F28B6C,naranjas
D034,Raspberry,#E72540,rojos
D033,Lipstick Red,#CC1321,rojos
D040,Shock Pink,#F2A5C7,rosas
D041,Fuchsia,#E23473,rosas
D042,Magenta,#D10469,rosas
D055,Cardinal,#B03A8E,morados
D053,Purple,#9E1A80,morados
D050,Viola,#CCB0D6,morados
D054,Blue Violett,#8D62A7,morados
D051,Violett,#744394,morados
D052,Midnight Violett,#512967,morados
D061,Tahitian Blue,#64C7E7,azules
D060,Baby Blue,#00A3DE,azules
D062,Light Blue,#00589F,azules
D063,Sky Blue,#0570A8,azules
D067,Shock Blue,#007CB4,azules
D064,Royal Blue,#103B66,azules
D065,Sapphire Blue,#162C51,azules
D066,Cool Blue,#87A7D8,azules
D073,Blue Atoll,#009EC1,azules
D072,Ice Aqua,#00A4A6,azules
D074,Teal,#0084A3,azules
D075,Storm,#00728A,azules
D071,Ocean,#016D60,verdes
D070,Turquise,#009792,azules
D085,Mint,#5FBEB6,verdes
D080,Pistachio,#9EC417,verdes
D081,Acid Green,#4A8832,verdes
D082,Grass,#017337,verdes
D084,Deep Green,#007042,verdes
D083,Forest,#1F5730,verdes
D086,Frog Green,#BABD0E,verdes
D087,Olive,#9E981E,verdes
D100,Cocoa,#E0B990,marrones
D104,Cappuccino,#D4AE8A,marrones
D101,Walnut,#9E6031,marrones
D102,Kupa,#6E3E2A,marrones
D103,Chocolate,#5A352D,marrones
D090,Neutral,#CCCDD1,grises
D091,Mouse,#82898F,grises
D092,Steel,#535C5B,grises
D093,Antracite,#38414A,grises
D300,Black,#1C1C1C,negros
D400,Silver Chrome,#B0B0B0,grises
D500,Gold Chrome,#BF9A5B,amarillos
