"Type","SKU","Name","Published","Visibility in catalog","Regular price","Categories","In stock?","Manage stock?","Images","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global"
"simple","CERA-ACAB","ACAB","1","visible","8.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-ACAB.png","Marca","","0","0"
"simple","CERA-AKIRA","AKIRA","1","visible","8.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-AKIRA.png","Marca","","0","0"
"simple","CERA-BLING","BLING","1","visible","8.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-BLING.png","Marca","","0","0"
"simple","CERA-CLIQUE","CLIQUE","1","visible","8.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-CLIQUE.png","Marca","","0","0"
"simple","CERA-DOJO","DOJO","1","visible","8.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-DOJO.png","Marca","","0","0"
"simple","CERA-HAND-MIXED-CARIBES","Hand Mixed Caribes","1","visible","13.15","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-CARIBES.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-CHERNOBYL","Hand Mixed Chernobyl","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-CHERNOBYL.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-EDITION-CLASSIC-6D","Hand Mixed Edition Classic 6D","1","visible","13.15","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-EDITION-CLASSIC-6D.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-EDITION-CLASSIC-8D","Hand Mixed Edition Classic 8D","1","visible","13.15","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-EDITION-CLASSIC-8D.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-MARLEY","Hand Mixed Marley","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-MARLEY.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-PRO-ATACAMA","Hand Mixed Pro Atacama","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-PRO-ATACAMA.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-PRO-CALIFORNIA","Hand Mixed Pro California","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-PRO-CALIFORNIA.png","Marca","Hand Mixed","1","0"
