Type,SKU,Name,Published,"Visibility in catalog","Regular price",Categories,"In stock?","Manage stock?","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global",Parent,"Meta: _spray_nova_color_hex","Meta: _spray_nova_color_code","Meta: _spray_nova_color_family"
variable,DOPE-CLASSIC-400,DOPE Classic 400ml,1,visible,,"Sprays",1,0,Color,"D200 White, D001 Fresh Color, D002 Ivory Light, D003 Flesh, D010 Lemon Yellow, D011 Sunny Yellow, D013 Pastel Yellow, D012 Melon Yellow, D014 Fall Leaf, D020 Pastel Orange, D021 Orangine, D023 Pure Orange, D022 Reddish, D031 Bomba Red, D030 Signal Red, D032 Vine, D024 Tropical Peach, D034 Raspberry, D033 Lipstick Red, D040 Shock Pink, D041 Fuchsia, D042 Magenta, D055 Cardinal, D053 Purple, D050 Viola, D054 Blue Violett, D051 Violett, D052 Midnight Violett, D061 Tahitian Blue, D060 Baby Blue, D062 Light Blue, D063 Sky Blue, D067 Shock Blue, D064 Royal Blue, D065 Sapphire Blue, D066 Cool Blue, D073 Blue Atoll, D072 Ice Aqua, D074 Teal, D075 Storm, D071 Ocean, D070 Turquise, D085 Mint, D080 Pistachio, D081 Acid Green, D082 Grass, D084 Deep Green, D083 Forest, D086 Frog Green, D087 Olive, D100 Cocoa, D104 Cappuccino, D101 Walnut, D102 Kupa, D103 Chocolate, D090 Neutral, D091 Mouse, D092 Steel, D093 Antracite, D300 Black, D400 Silver Chrome, D500 Gold Chrome",1,0,,,,
variation,D200,DOPE Classic 400ml - D200 White,1,visible,4.50,"Sprays",1,0,Color,D200 White,1,0,DOPE-CLASSIC-400,#FFFFFF,D200,blancos
variation,D001,DOPE Classic 400ml - D001 Fresh Color,1,visible,4.50,"Sprays",1,0,Color,D001 Fresh Color,1,0,DOPE-CLASSIC-400,#F5E9B9,D001,blancos
variation,D002,DOPE Classic 400ml - D002 Ivory Light,1,visible,4.50,"Sprays",1,0,Color,D002 Ivory Light,1,0,DOPE-CLASSIC-400,#E4D1A9,D002,blancos
variation,D003,DOPE Classic 400ml - D003 Flesh,1,visible,4.50,"Sprays",1,0,Color,D003 Flesh,1,0,DOPE-CLASSIC-400,#FDD69F,D003,marrones
variation,D010,DOPE Classic 400ml - D010 Lemon Yellow,1,visible,4.50,"Sprays",1,0,Color,D010 Lemon Yellow,1,0,DOPE-CLASSIC-400,#FDD100,D010,amarillos
variation,D011,DOPE Classic 400ml - D011 Sunny Yellow,1,visible,4.50,"Sprays",1,0,Color,D011 Sunny Yellow,1,0,DOPE-CLASSIC-400,#FDC937,D011,amarillos
variation,D013,DOPE Classic 400ml - D013 Pastel Yellow,1,visible,4.50,"Sprays",1,0,Color,D013 Pastel Yellow,1,0,DOPE-CLASSIC-400,#FAB540,D013,amarillos
variation,D012,DOPE Classic 400ml - D012 Melon Yellow,1,visible,4.50,"Sprays",1,0,Color,D012 Melon Yellow,1,0,DOPE-CLASSIC-400,#F7A100,D012,amarillos
variation,D014,DOPE Classic 400ml - D014 Fall Leaf,1,visible,4.50,"Sprays",1,0,Color,D014 Fall Leaf,1,0,DOPE-CLASSIC-400,#DCAD05,D014,amarillos
